"","ACCOUNT_KEY","SEASON_YEAR","ACCOUNT_TYPE","sum(TICKET_SOLD)","sum(FLEX_PLAN_TICKET_SOLD)","sum(FULL_PLAN_TICKET_SOLD)","sum(FORTY_PLAN_TICKET_SOLD)","sum(GROUP_TICKET_SOLD)","sum(MINI_PLAN_TICKET_SOLD)","sum(SEASON_TICKET_SOLD)","sum(SINGLE_TICKET_SOLD)","sum(SIXPACK_PLAN_TICKET_SOLD)"
"16580",1408909,2022,"Individual",325,0,242,0,0,0,316,9,0
"16581",1408909,2023,"Individual",351,0,209,0,0,0,320,31,0
"16582",1408909,2024,"Individual",347,0,215,0,0,0,315,32,28
"16583",1409193,2023,"Individual",3,0,0,0,0,0,0,3,0
"16584",1409294,2024,"Individual",14,0,0,0,2,0,0,12,12
"16585",1409452,2024,"Individual",2,0,0,0,0,0,0,2,0
"16586",1409477,2021,"Individual",42,0,0,0,0,0,40,2,0
"16587",1409477,2022,"Individual",40,0,0,0,0,0,40,0,0
"16588",1409587,2024,"Individual",10,0,0,0,0,0,0,10,10
"16589",1409688,2021,"Individual",13,0,0,0,0,8,8,5,0
"16590",1409697,2023,"Individual",2,0,0,0,0,0,0,2,0
"16591",1409899,2024,"Individual",8,0,0,0,0,0,0,8,0
"16592",1409954,2021,"Individual",8,0,0,0,0,0,0,8,0
"16593",1409954,2022,"Individual",14,0,0,0,0,0,0,14,6
"16594",1409954,2023,"Individual",3,0,0,0,0,0,0,3,0
"16595",1409954,2024,"Individual",2,0,0,0,0,0,0,2,0
"16596",1410570,2023,"Business",336,0,0,0,16,0,320,0,0
"16597",1410570,2024,"Business",882,0,648,0,0,0,876,6,0
"16598",1410906,2022,"Individual",5,0,0,0,0,0,0,5,0
"16599",1410916,2021,"Individual",52,0,0,0,0,0,0,52,0
"16600",1410916,2022,"Individual",22,0,0,13,0,0,14,8,0
"16601",1410916,2023,"Individual",40,0,0,11,0,0,19,21,0
"16602",1410916,2024,"Individual",54,0,0,35,0,0,38,16,0
"16603",1410952,2021,"Group",0,0,0,0,0,0,0,0,0
"16604",1410952,2022,"Group",6,0,0,0,0,0,0,6,0
"16605",1410969,2022,"Individual",2,0,0,0,0,0,0,2,0
"16606",1411193,2024,"Individual",84,0,0,0,0,0,80,4,0
"16607",1411483,2021,"Individual",2,0,0,0,0,0,0,2,0
"16608",1411608,2023,"Individual",1,0,0,0,0,0,0,1,0
"16609",1411608,2024,"Individual",1,0,0,0,0,0,0,1,0
